Entry	Entry name	Status	Protein names	Organism	Length	Gene symbol	Alias Genes
Q14739	LBR_HUMAN	reviewed	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)	Homo sapiens (Human)	615	LBR	NA
A0A0U1RQI7	KLF18_HUMAN	reviewed	Kruppel-like factor 18	Homo sapiens (Human)	1052	KLF18	NA
Q6YP21	KAT3_HUMAN	reviewed	Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.7) (Cysteine-S-conjugate beta-lyase 2) (EC 4.4.1.13) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (KATIII) (Kynurenine--glyoxylate transaminase) (EC 2.6.1.63) (Kynurenine--oxoglutarate transaminase III)	Homo sapiens (Human)	454	KYAT3	CCBL2;KAT3
O00198	HRK_HUMAN	reviewed	Activator of apoptosis harakiri (BH3-interacting domain-containing protein 3) (Neuronal death protein DP5)	Homo sapiens (Human)	91	HRK	BID3
Q7Z6Z7	HUWE1_HUMAN	reviewed	E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)	Homo sapiens (Human)	4374	HUWE1	KIAA0312;KIAA1578;UREB1;HSPC272
Q8TDW0	LRC8C_HUMAN	reviewed	Volume-regulated anion channel subunit LRRC8C (Factor for adipocyte differentiation 158) (Leucine-rich repeat-containing protein 8C)	Homo sapiens (Human)	803	LRRC8C	AD158;FAD158
B2RPK0	HGB1A_HUMAN	reviewed	Putative high mobility group protein B1-like 1 (High mobility group protein B1 pseudogene 1) (Putative high mobility group protein 1-like 1) (HMG-1L1)	Homo sapiens (Human)	211	HMGB1P1	HMG1L1;HMGB1L1
A0A0C4DH33	HV124_HUMAN	reviewed	Immunoglobulin heavy variable 1-24	Homo sapiens (Human)	117	IGHV1-24	NA
Q7L1W4	LRC8D_HUMAN	reviewed	Volume-regulated anion channel subunit LRRC8D (Leucine-rich repeat-containing protein 5) (Leucine-rich repeat-containing protein 8D)	Homo sapiens (Human)	858	LRRC8D	LRRC5;UNQ213/PRO239
P01817	HV205_HUMAN	reviewed	Immunoglobulin heavy variable 2-5 (Ig heavy chain V-II region HE) (Ig heavy chain V-II region MCE)	Homo sapiens (Human)	119	IGHV2-5	NA
Q9H7Z6	KAT8_HUMAN	reviewed	Histone acetyltransferase KAT8 (EC 2.3.1.48) (Lysine acetyltransferase 8) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 1) (MYST-1) (hMOF)	Homo sapiens (Human)	458	KAT8	MOF;MYST1;PP7073
P01764	HV323_HUMAN	reviewed	Immunoglobulin heavy variable 3-23 (Ig heavy chain V-III region LAY) (Ig heavy chain V-III region POM) (Ig heavy chain V-III region TEI) (Ig heavy chain V-III region TIL) (Ig heavy chain V-III region TUR) (Ig heavy chain V-III region VH26) (Ig heavy chain V-III region WAS) (Ig heavy chain V-III region ZAP)	Homo sapiens (Human)	117	IGHV3-23	NA
Q93099	HGD_HUMAN	reviewed	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	Homo sapiens (Human)	445	HGD	HGO
P01772	HV333_HUMAN	reviewed	Immunoglobulin heavy variable 3-33 (Ig heavy chain V-III region HIL) (Ig heavy chain V-III region KOL)	Homo sapiens (Human)	117	IGHV3-33	NA
Q9BRT3	MIEN1_HUMAN	reviewed	Migration and invasion enhancer 1 (HBV X-transactivated gene 4 protein) (HBV XAg-transactivated protein 4) (Protein C35)	Homo sapiens (Human)	115	MIEN1	C17orf37;RDX12;XTP4
A0A0C4DH36	HV338_HUMAN	reviewed	Probable non-functional immunoglobulin heavy variable 3-38	Homo sapiens (Human)	116	IGHV3-38	NA
A0A0B4J1X5	HV374_HUMAN	reviewed	Immunoglobulin heavy variable 3-74	Homo sapiens (Human)	117	IGHV3-74	NA
A0A075B6R2	HV404_HUMAN	reviewed	Immunoglobulin heavy variable 4-4	Homo sapiens (Human)	117	IGHV4-4	NA
P48637	GSHB_HUMAN	reviewed	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)	Homo sapiens (Human)	474	GSS	NA
A0A0B4J1V6	HV373_HUMAN	reviewed	Immunoglobulin heavy variable 3-73	Homo sapiens (Human)	119	IGHV3-73	NA
Q92598	HS105_HUMAN	reviewed	Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)	Homo sapiens (Human)	858	HSPH1	HSP105;HSP110;KIAA0201
A0A0C4DH41	HV461_HUMAN	reviewed	Immunoglobulin heavy variable 4-61	Homo sapiens (Human)	118	IGHV4-61	NA
Q9UN81	LORF1_HUMAN	reviewed	LINE-1 retrotransposable element ORF1 protein (L1ORF1p) (LINE retrotransposable element 1) (LINE1 retrotransposable element 1)	Homo sapiens (Human)	338	L1RE1	LRE1
A0A0J9YX35	HV64D_HUMAN	reviewed	Immunoglobulin heavy variable 3-64D	Homo sapiens (Human)	117	IGHV3-64D	NA
Q96MM6	HS12B_HUMAN	reviewed	Heat shock 70 kDa protein 12B	Homo sapiens (Human)	686	HSPA12B	C20orf60
A0A0C4DH43	HV70D_HUMAN	reviewed	Immunoglobulin heavy variable 2-70D	Homo sapiens (Human)	119	IGHV2-70D	NA
Q04756	HGFA_HUMAN	reviewed	Hepatocyte growth factor activator (HGF activator) (HGFA) (EC 3.4.21.-) [Cleaved into: Hepatocyte growth factor activator short chain; Hepatocyte growth factor activator long chain]	Homo sapiens (Human)	655	HGFAC	NA
O75427	LRCH4_HUMAN	reviewed	Leucine-rich repeat and calponin homology domain-containing protein 4 (Leucine-rich repeat neuronal protein 4) (Leucine-rich neuronal protein)	Homo sapiens (Human)	683	LRCH4	LRN;LRRN1;LRRN4
P0DP02	HVC33_HUMAN	reviewed	Immunoglobulin heavy variable 3-30-3	Homo sapiens (Human)	117	IGHV3-30-3	NA
Q9NVR0	KLH11_HUMAN	reviewed	Kelch-like protein 11	Homo sapiens (Human)	708	KLHL11	NA
Q9P086	MED11_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)	Homo sapiens (Human)	117	MED11	HSPC296
Q9ULH4	LRFN2_HUMAN	reviewed	Leucine-rich repeat and fibronectin type-III domain-containing protein 2 (Synaptic adhesion-like molecule 1)	Homo sapiens (Human)	789	LRFN2	KIAA1246;SALM1
P14174	MIF_HUMAN	reviewed	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	Homo sapiens (Human)	115	MIF	GLIF;MMIF
Q9BTN0	LRFN3_HUMAN	reviewed	Leucine-rich repeat and fibronectin type-III domain-containing protein 3 (Synaptic adhesion-like molecule 4)	Homo sapiens (Human)	628	LRFN3	SALM4;UNQ5865/PRO34192
Q7LGA3	HS2ST_HUMAN	reviewed	Heparan sulfate 2-O-sulfotransferase 1 (2-O-sulfotransferase) (2OST) (EC 2.8.2.-)	Homo sapiens (Human)	356	HS2ST1	HS2ST;KIAA0448
Q9Y661	HS3S4_HUMAN	reviewed	Heparan sulfate glucosamine 3-O-sulfotransferase 4 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 4) (3-OST-4) (Heparan sulfate 3-O-sulfotransferase 4) (h3-OST-4)	Homo sapiens (Human)	456	HS3ST4	3OST4
Q8IZT8	HS3S5_HUMAN	reviewed	Heparan sulfate glucosamine 3-O-sulfotransferase 5 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 5) (3-OST-5) (Heparan sulfate 3-O-sulfotransferase 5) (h3-OST-5)	Homo sapiens (Human)	346	HS3ST5	3OST5;HS3OST5
P18054	LOX12_HUMAN	reviewed	Arachidonate 12-lipoxygenase, 12S-type (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Arachidonate 15-lipoxygenase,15S-type) (EC 1.13.11.33) (Linoleate 13S-lipoxygenase) (EC 1.13.11.12) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12)	Homo sapiens (Human)	663	ALOX12	12LO;LOG12
Q9H0H3	KLH25_HUMAN	reviewed	Kelch-like protein 25 (Ectoderm-neural cortex protein 2) (ENC-2)	Homo sapiens (Human)	589	KLHL25	ENC2
O43365	HXA3_HUMAN	reviewed	Homeobox protein Hox-A3 (Homeobox protein Hox-1E)	Homo sapiens (Human)	443	HOXA3	HOX1E
Q96CT2	KLH29_HUMAN	reviewed	Kelch-like protein 29 (Kelch repeat and BTB domain-containing protein 9)	Homo sapiens (Human)	875	KLHL29	KBTBD9;KIAA1921
Q5T753	LCE1E_HUMAN	reviewed	Late cornified envelope protein 1E (Late envelope protein 5)	Homo sapiens (Human)	118	LCE1E	LEP5
Q5TA79	LCE2A_HUMAN	reviewed	Late cornified envelope protein 2A (Late envelope protein 9)	Homo sapiens (Human)	106	LCE2A	LEP9
Q5T5B0	LCE3E_HUMAN	reviewed	Late cornified envelope protein 3E (Late envelope protein 17)	Homo sapiens (Human)	92	LCE3E	LEP17
Q9H944	MED20_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20) (TRF-proximal protein homolog) (hTRFP)	Homo sapiens (Human)	212	MED20	TRFP
Q13503	MED21_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 21 (Mediator complex subunit 21) (RNA polymerase II holoenzyme component SRB7) (RNAPII complex component SRB7) (hSrb7)	Homo sapiens (Human)	144	MED21	SRB7;SURB7
Q7Z2Y8	GVIN1_HUMAN	reviewed	Interferon-induced very large GTPase 1 (Interferon-induced very large GTPase pseudogene 1)	Homo sapiens (Human)	2422	GVINP1	GVIN1;VLIG1
A6NDA9	LRIT2_HUMAN	reviewed	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 (Leucine-rich repeat-containing protein 22)	Homo sapiens (Human)	550	LRIT2	LRRC22
P49841	GSK3B_HUMAN	reviewed	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	Homo sapiens (Human)	420	GSK3B	NA
O60662	KLH41_HUMAN	reviewed	Kelch-like protein 41 (Kel-like protein 23) (Kelch repeat and BTB domain-containing protein 10) (Kelch-related protein 1) (Sarcosin)	Homo sapiens (Human)	606	KLHL41	KBTBD10;KRP1
Q9P2K6	KLH42_HUMAN	reviewed	Kelch-like protein 42 (Cullin-3-binding protein 9) (Ctb9) (Kelch domain-containing protein 5)	Homo sapiens (Human)	505	KLHL42	KIAA1340;KLHDC5
O75448	MED24_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 24 (Activator-recruited cofactor 100 kDa component) (ARC100) (Cofactor required for Sp1 transcriptional activation subunit 4) (CRSP complex subunit 4) (Mediator complex subunit 24) (Thyroid hormone receptor-associated protein 4) (Thyroid hormone receptor-associated protein complex 100 kDa component) (Trap100) (hTRAP100) (Vitamin D3 receptor-interacting protein complex 100 kDa component) (DRIP100)	Homo sapiens (Human)	989	MED24	ARC100;CRSP4;DRIP100;KIAA0130;THRAP4;TRAP100
Q9NX70	MED29_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 29 (Intersex-like protein) (Mediator complex subunit 29)	Homo sapiens (Human)	200	MED29	IXL
Q96HR3	MED30_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 30 (Mediator complex subunit 30) (TRAP/Mediator complex component TRAP25) (Thyroid hormone receptor-associated protein 6) (Thyroid hormone receptor-associated protein complex 25 kDa component) (Trap25)	Homo sapiens (Human)	178	MED30	THRAP6;TRAP25
P54868	HMCS2_HUMAN	reviewed	Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	Homo sapiens (Human)	508	HMGCS2	NA
P60371	KR106_HUMAN	reviewed	Keratin-associated protein 10-6 (High sulfur keratin-associated protein 10.6) (Keratin-associated protein 10.6) (Keratin-associated protein 18-6) (Keratin-associated protein 18.6)	Homo sapiens (Human)	365	KRTAP10-6	KAP10.6;KAP18-6;KRTAP10.6;KRTAP18-6;KRTAP18.6
P60409	KR107_HUMAN	reviewed	Keratin-associated protein 10-7 (High sulfur keratin-associated protein 10.7) (Keratin-associated protein 10.7) (Keratin-associated protein 18-7) (Keratin-associated protein 18.7)	Homo sapiens (Human)	370	KRTAP10-7	KAP10.7;KAP18-7;KRTAP10.7;KRTAP18-7;KRTAP18.7
Q3LI83	KR241_HUMAN	reviewed	Keratin-associated protein 24-1	Homo sapiens (Human)	254	KRTAP24-1	KAP24.1
Q9BYQ3	KRA93_HUMAN	reviewed	Keratin-associated protein 9-3 (Keratin-associated protein 9.3) (Ultrahigh sulfur keratin-associated protein 9.3)	Homo sapiens (Human)	159	KRTAP9-3	KAP9.3;KRTAP9.3
Q9NRE1	MMP26_HUMAN	reviewed	Matrix metalloproteinase-26 (MMP-26) (EC 3.4.24.-) (Endometase) (Matrilysin-2)	Homo sapiens (Human)	261	MMP26	NA
Q96T76	MMS19_HUMAN	reviewed	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)	Homo sapiens (Human)	1030	MMS19	MMS19L
Q96JN0	LCOR_HUMAN	reviewed	Ligand-dependent corepressor (LCoR) (Mblk1-related protein 2)	Homo sapiens (Human)	433	LCOR	C10orf12;KIAA1795;MLR2
Q9BU76	MMTA2_HUMAN	reviewed	Multiple myeloma tumor-associated protein 2 (hMMTAG2)	Homo sapiens (Human)	263	MMTAG2	C1orf35
Q9NSB2	KRT84_HUMAN	reviewed	Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)	Homo sapiens (Human)	600	KRT84	KRTHB4
Q99878	H2A1J_HUMAN	reviewed	Histone H2A type 1-J (Histone H2A/e)	Homo sapiens (Human)	128	H2AC14	H2AFE;HIST1H2AJ
O76009	KT33A_HUMAN	reviewed	Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)	Homo sapiens (Human)	404	KRT33A	HHA3-I;HKA3A;KRTHA3A
Q9NSA2	KCND1_HUMAN	reviewed	Potassium voltage-gated channel subfamily D member 1 (Voltage-gated potassium channel subunit Kv4.1)	Homo sapiens (Human)	647	KCND1	NA
Q14525	KT33B_HUMAN	reviewed	Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)	Homo sapiens (Human)	404	KRT33B	HHA3-II;HKA3B;KRTHA3B
P0DM35	M1BL1_HUMAN	reviewed	Metallothionein 1H-like protein 1	Homo sapiens (Human)	61	MT1HL1	NA
Q2T9L4	INSY1_HUMAN	reviewed	Inhibitory synaptic factor 1 (InSyn1)	Homo sapiens (Human)	293	INSYN1	C15orf59
P60985	KTDAP_HUMAN	reviewed	Keratinocyte differentiation-associated protein	Homo sapiens (Human)	99	KRTDAP	KDAP;UNQ467/PRO826
P0C5Y9	H2AB1_HUMAN	reviewed	Histone H2A-Bbd type 1 (H2A Barr body-deficient) (H2A.B) (H2A.Bbd)	Homo sapiens (Human)	115	H2AB1	H2AFB1
P0C0S5	H2AZ_HUMAN	reviewed	Histone H2A.Z (H2A/z)	Homo sapiens (Human)	128	H2AZ1	H2AFZ;H2AZ
O15431	COPT1_HUMAN	reviewed	High affinity copper uptake protein 1 (Copper transporter 1) (hCTR1) (Solute carrier family 31 member 1)	Homo sapiens (Human)	190	SLC31A1	COPT1;CTR1
Q8NAS9	CE017_HUMAN	reviewed	Putative uncharacterized protein C5orf17	Homo sapiens (Human)	161	C5orf17	NA
Q8N8D9	CE056_HUMAN	reviewed	Uncharacterized protein C5orf56	Homo sapiens (Human)	126	C5orf56	NA
O95674	CDS2_HUMAN	reviewed	Phosphatidate cytidylyltransferase 2 (EC 2.7.7.41) (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2) (CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2)	Homo sapiens (Human)	445	CDS2	NA
Q6ZN30	BNC2_HUMAN	reviewed	Zinc finger protein basonuclin-2	Homo sapiens (Human)	1099	BNC2	NA
P56539	CAV3_HUMAN	reviewed	Caveolin-3 (M-caveolin)	Homo sapiens (Human)	151	CAV3	NA
Q9Y6W3	CAN7_HUMAN	reviewed	Calpain-7 (EC 3.4.22.-) (PalB homolog) (PalBH)	Homo sapiens (Human)	813	CAPN7	PALBH
Q9UKB5	AJAP1_HUMAN	reviewed	Adherens junction-associated protein 1 (Membrane protein shrew-1)	Homo sapiens (Human)	411	AJAP1	MOT8;SHREW1
P47902	CDX1_HUMAN	reviewed	Homeobox protein CDX-1 (Caudal-type homeobox protein 1)	Homo sapiens (Human)	265	CDX1	NA
P52907	CAZA1_HUMAN	reviewed	F-actin-capping protein subunit alpha-1 (CapZ alpha-1)	Homo sapiens (Human)	286	CAPZA1	NA
Q2NKX9	CB068_HUMAN	reviewed	UPF0561 protein C2orf68	Homo sapiens (Human)	166	C2orf68	NA
Q92828	COR2A_HUMAN	reviewed	Coronin-2A (IR10) (WD repeat-containing protein 2)	Homo sapiens (Human)	525	CORO2A	IR10;WDR2
P50747	BPL1_HUMAN	reviewed	Biotin--protein ligase (EC 6.3.4.-) (Biotin apo-protein ligase) [Includes: Biotin--[methylmalonyl-CoA-carboxytransferase] ligase (EC 6.3.4.9); Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (EC 6.3.4.10) (Holocarboxylase synthetase) (HCS); Biotin--[methylcrotonoyl-CoA-carboxylase] ligase (EC 6.3.4.11); Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15)]	Homo sapiens (Human)	726	HLCS	NA
Q15744	CEBPE_HUMAN	reviewed	CCAAT/enhancer-binding protein epsilon (C/EBP epsilon)	Homo sapiens (Human)	281	CEBPE	NA
Q6UW01	CBLN3_HUMAN	reviewed	Cerebellin-3	Homo sapiens (Human)	205	CBLN3	UNQ755/PRO1486
P47756	CAPZB_HUMAN	reviewed	F-actin-capping protein subunit beta (CapZ beta)	Homo sapiens (Human)	277	CAPZB	NA
P08218	CEL2B_HUMAN	reviewed	Chymotrypsin-like elastase family member 2B (EC 3.4.21.71) (Elastase-2B)	Homo sapiens (Human)	269	CELA2B	ELA2B
P24468	COT2_HUMAN	reviewed	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	Homo sapiens (Human)	414	NR2F2	ARP1;TFCOUP2
Q7KYR7	BT2A1_HUMAN	reviewed	Butyrophilin subfamily 2 member A1	Homo sapiens (Human)	527	BTN2A1	BT2.1;BTF1
Q10589	BST2_HUMAN	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317)	Homo sapiens (Human)	180	BST2	NA
A6NE02	BTBDH_HUMAN	reviewed	BTB/POZ domain-containing protein 17 (Galectin-3-binding protein-like)	Homo sapiens (Human)	478	BTBD17	NA
Q9BYV8	CEP41_HUMAN	reviewed	Centrosomal protein of 41 kDa (Cep41) (Testis-specific gene A14 protein)	Homo sapiens (Human)	373	CEP41	TSGA14
Q5RI15	COX20_HUMAN	reviewed	Cytochrome c oxidase assembly protein COX20, mitochondrial	Homo sapiens (Human)	118	COX20	FAM36A
Q76N32	CEP68_HUMAN	reviewed	Centrosomal protein of 68 kDa (Cep68)	Homo sapiens (Human)	757	CEP68	KIAA0582
P08603	CFAH_HUMAN	reviewed	Complement factor H (H factor 1)	Homo sapiens (Human)	1231	CFH	HF;HF1;HF2
P47710	CASA1_HUMAN	reviewed	Alpha-S1-casein [Cleaved into: Casoxin-D]	Homo sapiens (Human)	185	CSN1S1	CASA;CSN1
Q6ZSU1	C2G1P_HUMAN	reviewed	Putative inactive cytochrome P450 2G1 (Cytochrome P450 2G1 pseudogene)	Homo sapiens (Human)	146	CYP2G1P	CYP2GP1
Q5T4W7	ARTN_HUMAN	reviewed	Artemin (Enovin) (Neublastin)	Homo sapiens (Human)	220	ARTN	EVN
Q7RTU5	ASCL5_HUMAN	reviewed	Achaete-scute homolog 5 (ASH-5) (hASH5) (Class A basic helix-loop-helix protein 47) (bHLHa47)	Homo sapiens (Human)	278	ASCL5	BHLHA47
Q96FT7	ASIC4_HUMAN	reviewed	Acid-sensing ion channel 4 (ASIC4) (Amiloride-sensitive cation channel 4) (Amiloride-sensitive cation channel 4, pituitary)	Homo sapiens (Human)	647	ASIC4	ACCN4
P40617	ARL4A_HUMAN	reviewed	ADP-ribosylation factor-like protein 4A	Homo sapiens (Human)	200	ARL4A	ARL4
Q5VUE5	CA053_HUMAN	reviewed	Uncharacterized protein C1orf53	Homo sapiens (Human)	145	C1orf53	NA
Q8N6G1	CA211_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00337	Homo sapiens (Human)	96	LINC00337	C1orf211;NCRNA00337
O14977	AZIN1_HUMAN	reviewed	Antizyme inhibitor 1 (AZI) (AZI1) (Ornithine decarboxylase antizyme inhibitor)	Homo sapiens (Human)	448	AZIN1	OAZI;OAZIN
Q9BXU9	CABP8_HUMAN	reviewed	Calcium-binding protein 8 (CaBP8) (Calneuron I) (Calneuron-1)	Homo sapiens (Human)	219	CALN1	CABP8
Q8N302	AGGF1_HUMAN	reviewed	Angiogenic factor with G patch and FHA domains 1 (Angiogenic factor VG5Q) (hVG5Q) (G patch domain-containing protein 7) (Vasculogenesis gene on 5q protein)	Homo sapiens (Human)	714	AGGF1	GPATC7;GPATCH7;VG5Q
Q6ZUV0	BACHL_HUMAN	reviewed	Putative cytosolic acyl coenzyme A thioester hydrolase-like (EC 3.1.2.2) (Acyl-CoA thioesterase 7-like)	Homo sapiens (Human)	252	ACOT7L	BACHL
Q30KR1	DB109_HUMAN	reviewed	Putative beta-defensin 109B (Defensin, beta 109, pseudogene 1B) (Defensin, beta 109B)	Homo sapiens (Human)	87	DEFB109B	DEFB109P1B
Q96JJ3	ELMO2_HUMAN	reviewed	Engulfment and cell motility protein 2 (Protein ced-12 homolog A) (hCed-12A)	Homo sapiens (Human)	720	ELMO2	CED12A;KIAA1834
Q86US8	EST1A_HUMAN	reviewed	Telomerase-binding protein EST1A (EC 3.1.-.-) (EST1-like protein A) (Ever shorter telomeres 1A) (Smg-6 homolog) (Telomerase subunit EST1A) (hSmg5/7a)	Homo sapiens (Human)	1419	SMG6	C17orf31;EST1A;KIAA0732
P21462	FPR1_HUMAN	reviewed	fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor)	Homo sapiens (Human)	350	FPR1	NA
Q8IX29	FBX16_HUMAN	reviewed	F-box only protein 16	Homo sapiens (Human)	292	FBXO16	FBX16
O75426	FBX24_HUMAN	reviewed	F-box only protein 24	Homo sapiens (Human)	580	FBXO24	FBX24
P23141	EST1_HUMAN	reviewed	Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH)	Homo sapiens (Human)	567	CES1	CES2;SES1
Q8N9F7	GDPD1_HUMAN	reviewed	Lysophospholipase D GDPD1 (EC 3.1.4.39) (Glycerophosphodiester phosphodiesterase 4) (Glycerophosphodiester phosphodiesterase domain-containing protein 1)	Homo sapiens (Human)	314	GDPD1	GDE4
Q7L5L3	GDPD3_HUMAN	reviewed	Lysophospholipase D GDPD3 (EC 3.1.4.-) (Glycerophosphodiester phosphodiesterase 7) (Glycerophosphodiester phosphodiesterase domain-containing protein 3)	Homo sapiens (Human)	318	GDPD3	GDE7
Q9NPA0	EMC7_HUMAN	reviewed	ER membrane protein complex subunit 7	Homo sapiens (Human)	242	EMC7	C11orf3;C15orf24;HT022;UNQ905/PRO1926
Q9NRD1	FBX6_HUMAN	reviewed	F-box only protein 6 (F-box protein that recognizes sugar chains 2) (F-box/G-domain protein 2)	Homo sapiens (Human)	293	FBXO6	FBG2;FBS2;FBX6
A6NMT0	DBX1_HUMAN	reviewed	Homeobox protein DBX1 (Developing brain homeobox protein 1)	Homo sapiens (Human)	343	DBX1	NA
Q14209	E2F2_HUMAN	reviewed	Transcription factor E2F2 (E2F-2)	Homo sapiens (Human)	437	E2F2	NA
Q9H4I9	EMRE_HUMAN	reviewed	Essential MCU regulator, mitochondrial (Single-pass membrane protein with aspartate-rich tail 1, mitochondrial)	Homo sapiens (Human)	107	SMDT1	C22orf32;EMRE
Q6PIJ6	FBX38_HUMAN	reviewed	F-box only protein 38	Homo sapiens (Human)	1188	FBXO38	SP329
A6NGE4	DC8L1_HUMAN	reviewed	DDB1- and CUL4-associated factor 8-like protein 1 (WD repeat-containing protein 42B)	Homo sapiens (Human)	600	DCAF8L1	WDR42B
Q9NZL9	MAT2B_HUMAN	reviewed	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)	Homo sapiens (Human)	334	MAT2B	TGR;MSTP045;Nbla02999;UNQ2435/PRO4995
Q8NFM7	I17RD_HUMAN	reviewed	Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (IL17Rhom) (Interleukin-17 receptor-like protein) (Sef homolog) (hSef)	Homo sapiens (Human)	739	IL17RD	IL17RLM;SEF;UNQ6115/PRO20026
P23229	ITA6_HUMAN	reviewed	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	Homo sapiens (Human)	1130	ITGA6	NA
Q9UBM8	MGT4C_HUMAN	reviewed	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (EC 2.4.1.145) (N-acetylglucosaminyltransferase IV homolog) (hGnT-IV-H) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVc) (GlcNAc-T IVc) (GnT-IVc) (N-acetylglucosaminyltransferase IVc) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVc)	Homo sapiens (Human)	478	MGAT4C	NA
Q01629	IFM2_HUMAN	reviewed	Interferon-induced transmembrane protein 2 (Dispanin subfamily A member 2c) (DSPA2c) (Interferon-inducible protein 1-8D)	Homo sapiens (Human)	132	IFITM2	NA
Q9NZ38	IDAS1_HUMAN	reviewed	Uncharacterized protein IDI2-AS1 (IDI2 antisense RNA 1) (IDI2 antisense gene protein 1)	Homo sapiens (Human)	188	IDI2-AS1	C10orf110;HT009
